instance_id,target,n_coins,method,feasible,time_seconds,coin_combination
1,0,0,BestCase,NO,0.000001,None
2,2,0,BestCase,NO,0.000000,None
3,1,1,BestCase,NO,0.000000,None
4,3,1,BestCase,NO,0.000000,None
5,5,2,BestCase,NO,0.000000,None
6,4,2,BestCase,NO,0.000000,None
7,10,3,BestCase,NO,0.000000,None
8,25,3,BestCase,NO,0.000000,None
9,40,4,BestCase,NO,0.000000,None
10,29,4,BestCase,NO,0.000000,None
11,45,5,BestCase,NO,0.000000,None
12,37,5,BestCase,NO,0.000000,None
13,109,6,BestCase,NO,0.000000,None
14,38,6,BestCase,NO,0.000000,None
15,19,7,BestCase,NO,0.000000,None
16,289,7,BestCase,NO,0.000000,None
