instance_id,target,n_coins,method,feasible,time_seconds,coin_combination
1,0,0,BestCase,YES,0.000003,{}
2,2,0,BestCase,NO,0.000002,{}
3,1,1,BestCase,YES,0.000004,{1: 1}
4,3,1,BestCase,NO,0.000003,{2: 1}
5,5,2,BestCase,YES,0.000003,"{3: 1, 2: 1}"
6,4,2,BestCase,NO,0.000002,{1: 2}
7,10,3,BestCase,YES,0.000002,"{7: 1, 3: 1}"
8,25,3,BestCase,NO,0.000004,"{17: 0, 12: 1, 10: 1}"
9,40,4,BestCase,YES,0.000001,"{15: 2, 10: 1}"
10,29,4,BestCase,NO,0.000005,"{18: 1, 17: 0, 10: 1}"
11,45,5,BestCase,YES,0.000002,"{18: 1, 11: 2, 5: 1}"
12,37,5,BestCase,NO,0.000006,"{18: 1, 3: 4}"
13,109,6,BestCase,YES,0.000002,"{45: 2, 38: 0, 19: 1}"
14,38,6,BestCase,NO,0.000029,"{19: 1, 2: 4, 1: 1}"
15,19,7,BestCase,YES,0.000002,"{14: 0, 12: 1, 7: 1}"
16,289,7,BestCase,NO,0.000010,"{238: 1, 19: 2}"
